Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
Sdr. Vium Friskole,,,,,,,0.0
Sdr.Bjert Centralskole,3.7881359676,3.8877714939,4.0728744939,3.8877714939,3.3967607287,8.2085,360.0
Seden Skole,3.5442492484,3.6684395783,3.9004776943,3.6684395783,3.2899128562,6.4598072289,415.0
Sejergaardsskolen Grundskole og efterskole (345007),,,,,,8.0852037618,319.0
Sejs Skole,3.8795858,3.9642949517,4.0216475034,3.9642949517,3.4056172995,8.2833398058,515.0
Selam Privatskole,,,,,,6.4063636364,121.0
Seminarieskolen,3.5009267612,3.8398180746,3.7600250602,3.8398180746,3.1760478881,5.9998648649,222.0
Sengeløse Skole,3.5009487643,3.6484679275,3.6052798931,3.6484679275,3.1191381031,7.6630379747,237.0
Sigerslevøster Privatskole,,,,,,7.8866829268,205.0
Silkeborg Efterskole,,,,,,7.329047619,168.0
Sindal Privatskole,,,,,,5.4063636364,22.0
Sindal undervisningssted,3.6270901494,3.6304680391,3.6967969511,3.6304680391,3.2525511824,6.7964098361,610.0
Sjællands Privatskole,,,,,,6.8381294964,139.0
Sjælsøskolen,3.5833564883,3.7347771979,3.7814670078,3.7347771979,3.1770914909,8.5182871126,613.0
Sjørring Skole,3.8252024536,3.8163862028,3.9964285714,3.8163862028,3.2519907829,7.2183451537,423.0
Skads Skole Signatur,3.5079677175,3.6997308864,3.8451035706,3.6997308864,3.1788669548,6.8027403846,208.0
Skals Efterskole,,,,,,8.7302716049,405.0
Skals Skole,3.4800901429,3.571986164,3.6613756614,3.571986164,3.0567645344,6.9126744186,258.0
Skanderborg Realskole,,,,,,8.5385618729,299.0
Skanderup Efterskole,,,,,,6.9318888889,270.0
Skansevejens Skole,3.6107201333,3.7791599296,3.8125774461,3.7791599296,3.276650342,7.1823469388,294.0
Skave Skole,3.8056813594,3.5178562656,3.5859375,3.5178562656,3.1428567344,8.122037037,54.0
Skelbæk Friskole,,,,,,7.1292156863,51.0
Skelgårdsskolen,3.4678185595,3.6577069401,3.6282192715,3.6577069401,3.1171708057,6.965701559,449.0
Skibelund Gymnastik- og Idrætsefterskole,,,,,,6.8443912176,501.0
Skibhus Friskole,,,,,,5.716,35.0
