Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
4kløverskolen,3.6921852103,3.6486370035,3.802372684,3.6486370035,3.1967370969,7.0544615385,325.0
Abildgårdskolen,3.6390702301,3.8356573417,3.8963585378,3.8356573417,3.4491029833,5.8456074766,321.0
Absalons Skole,3.5993336816,3.7983664015,3.8142144613,3.7983664015,3.1898953582,8.0567115385,520.0
"Absalonskolen, område Holbæk By",3.4508615937,3.6609181752,3.7441239295,3.6609181752,3.1075380192,6.7273902439,410.0
Action Efterskolen,,,,,,5.01375,16.0
Adventure Efterskolen Sønderjylland Skelde,,,,,,6.0971165644,163.0
Agedrup Skole,3.5181538534,3.6401834453,3.6125786113,3.6401834453,3.1149142038,6.4142,300.0
Agerbæk Skole,3.7025709886,3.6344072514,3.6857142857,3.6344072514,3.1982580457,6.5313207547,265.0
Agerskov Kristne Friskole,,,,,,6.8620111732,179.0
Agerskov Ungdomsskole,,,,,,6.4583222958,453.0
Agersted Friskole,,,,,,7.1455,40.0
Ahi International School,,,,,,7.3248275862,116.0
Ahlmann-Skolen,3.5950555333,3.6435466891,3.8784722167,3.6435466891,3.4870233833,7.5136111111,36.0
Al Hikma Skolen,,,,,,8.0975362319,138.0
Al Quds Skole,,,,,,7.0357407407,162.0
Albertslund Lille Skole,,,,,,8.3553246753,154.0
Albertslund Ungecenter,,,,,,4.1214285714,21.0
Al-Hilal Skolen,,,,,,6.4842708333,96.0
Al-Huda Skolen,,,,,,7.0871681416,113.0
Al-Irchad Skolen,,,,,,6.6133766234,77.0
Aller Friskole,,,,,,7.9038181818,55.0
Allerslev Skole,3.6301408189,3.7754001496,3.7169728766,3.7754001496,3.1221800342,8.2333111111,450.0
Allerød Privatskole,,,,,,9.0171681416,113.0
Allindelille Friskole,,,,,,7.2054411765,68.0
Alme Skole,,,,,,7.5975384615,130.0
Alminde-Viuf Fællesskole,3.6915645385,3.8110505276,3.9115384615,3.8110505276,3.1741387723,7.3416428571,420.0
Al-Salahiyah Skolen,,,,,,6.5991891892,111.0
"Alt i et-Skolen, Klinkby",4.0559436538,3.9631400769,4.25,3.9631400769,3.7252743462,8.8677777778,9.0
Amager Fælled Skole,3.8132009035,3.8066367105,3.8844950831,3.8066367105,3.327843311,6.6611151079,278.0
Amager Lille Skole,,,,,,7.4871612903,155.0
Amager Privatskole,,,,,,7.8552409639,166.0
Amager's International School,,,,,,7.5403921569,153.0
Amagerskolen,3.6588015592,3.6041868975,3.656122449,3.6041868975,3.2101648082,6.3633039648,227.0
Andreasskolen,,,,,,7.8986982249,169.0
Anholt Skole,3.6181814,3.8035708,3.85,3.8035708,3.1142854,10.225,4.0
Anna Trolles Skole,3.6918383259,3.5563868806,3.8196517313,3.5563868806,3.0873485672,6.8616875,160.0
Ans Skole,3.7387895352,3.6871612578,3.9786745315,3.6871612578,3.3201074961,7.0653361345,238.0
Ansager Skole,3.5247122661,3.5321202202,3.6867283889,3.5321202202,3.0039678148,6.9296575342,146.0
Ansgarskolen Vadehav,3.7857184389,3.7831567409,3.9412720418,3.7831567409,3.3755449665,7.0177227723,303.0
Antvorskov Skole,3.6248637705,3.6140047683,3.7235308997,3.6140047683,3.0305647827,7.1618634886,923.0
Appenæs Friskole,,,,,,6.6604347826,46.0
Arden Skole,3.7459308129,3.7010887661,3.8356009048,3.7010887661,3.3459883186,6.8032727273,330.0
Arenaskolen,3.3878862171,3.4922842093,3.6171874844,3.4922842093,3.1591141875,5.901056338,142.0
"Arresø Skole, Kregme",,,,,,6.5834951456,103.0
As Friskole & Naturbørnehave,,,,,,7.7408888889,45.0
Asgård Skole,3.6444653053,3.7871754491,3.6716374211,3.7871754491,3.1679573415,7.1521325052,483.0
Askov Højskole og Efterskole,,,,,,6.9513780919,283.0
Asnæs Skole,3.3179222832,3.4123904086,3.4190561505,3.4123904086,2.8602231971,6.8220950324,463.0
Assens Skole,3.5678839926,3.5233944526,3.7457107794,3.5233944526,3.1807608467,6.2807857143,140.0
Assentoftskolen,3.7279486822,3.7196937674,3.9481050698,3.7196937674,3.2563673906,7.3236879433,423.0
Astrup Friskole,,,,,,5.1971428571,7.0
Astrup-Sønderskov Friskole,,,,,,5.8725,16.0
Asaa Skole,3.749951234,3.7891328936,3.9734042553,3.7891328936,3.5531910426,7.6069565217,69.0
Atheneskolen,,,,,,10.1581761006,159.0
Augustenborg Skole,3.4819762915,3.5541044439,3.7075825811,3.5541044439,3.1176744054,6.697431694,366.0
Aulum Kristne Friskole,,,,,,6.4556521739,46.0
Aulum-Hodsager Skole,3.7802725026,3.8162771969,3.895077715,3.8162771969,3.3569943886,7.8846875,32.0
"Aulum-Hodsager Skole, Aulum",,,,,,7.950941704,223.0
Auning Skole,3.6327432632,3.6860419091,3.8167862823,3.6860419091,3.2142966914,6.484964539,705.0
Avedøre Skole,3.5018122627,3.5840213363,3.6689121617,3.5840213363,3.0815864251,6.3404095563,293.0
Baggesenskolen,3.5222885074,3.5905555331,3.6243872463,3.5905555331,3.0706609444,6.7145584046,351.0
Bagsværd Friskole (Hanna-Skolen),,,,,,7.7657718121,149.0
Bagsværd Gymnasiums Grundskole,,,,,,8.9186869565,1150.0
Bagsværd Skole,3.6978338858,3.7435771674,3.5707762511,3.7435771674,3.19778171,8.0306371681,565.0
Bagterp undervisningssted,3.5258380242,3.6169129084,3.6749551909,3.6169129084,3.0835960458,7.3520093458,428.0
Bakkegårdsskolen,,,,,,7.2815930388,747.0
Bakkehusene,,,,,,6.3567741935,93.0
Bakkelandets Friskole,,,,,,9.0075,4.0
Bakkeskolen,,,,,,7.5676587302,756.0
Bakkeskolen Cosmos,3.6247841469,3.8001126571,3.945549233,3.8001126571,3.4436007898,5.7368361582,177.0
Bakkevejens Skole Fortuna,3.5342366053,3.6202877189,3.7273175473,3.6202877189,3.0862382649,6.7973546512,344.0
"Balle Friskole, Balle Musik- & Idrætsefterskole",,,,,,7.3480645161,527.0
Ballerup Ny Skole,,,,,,7.6042372881,59.0
Ballerup Ungdomsskole,,,,,,10.0,3.0
Balleskolen,3.5157397812,3.601695079,3.7249240091,3.601695079,3.0597188055,7.3293052632,475.0
Balletskolen,,,,,,8.202962963,108.0
Balsmoseskolen,3.5460012424,3.6805215209,3.746843428,3.6805215209,3.0036026958,7.971595092,326.0
Baltorpskolen,3.5329939519,3.6545077108,3.7989959783,3.6545077108,3.3784735036,6.1937373737,198.0
Baltorpskolen - Grantoften,,,,,,6.322979798,198.0
Baltorpskolen - Rugvænget,,,,,,6.4261490683,161.0
Bankagerskolen,3.6210967279,3.6913206314,3.7957516324,3.6913206314,3.1923153301,6.8861670762,407.0
Bavnebakkeskolen,3.6619991281,3.7456017022,3.7946521246,3.7456017022,3.279011373,7.6326600985,406.0
Bavnehøj Skole,,,,,,6.9646590909,528.0
Beder Skole,3.6427820308,3.7765583584,3.7966226035,3.7765583584,3.504939793,8.186167979,381.0
Bedsted Friskole,,,,,,6.5990625,32.0
Bellahøj Skole,3.4820791171,3.6787926737,3.7470794346,3.6787926737,3.1375918122,6.9902640264,606.0
Bernadotteskolen,,,,,,8.5727045455,440.0
Bernstorffsminde Efterskole,,,,,,7.6683453237,556.0
Bieringhus Efterskole,,,,,,4.3185185185,81.0
Biersted Skole,3.5359852248,3.6147478953,3.7096253178,3.6147478953,3.0952007829,7.2444312796,422.0
Billesborgskolen,,,,,,8.3704964539,141.0
Billeshave Efterskole,,,,,,5.774,185.0
Billums Privatskole,,,,,,7.5613970588,136.0
BillundSkolen,3.7113724638,3.7494771408,4.0012077246,3.7494771408,3.3419320777,7.7352083333,528.0
Bindernæs Efterskole,,,,,,4.6229545455,352.0
Birkerød Privatskole,,,,,,8.6573282443,262.0
Birkerød Skole,3.6117776643,3.7312645396,3.78617106,3.7312645396,3.2581930312,7.9506809339,514.0
Birkhovedskolen,3.6590761197,3.6830782007,3.6751760563,3.6830782007,3.260633947,6.9602346041,341.0
Bistrupskolen,3.6047265022,3.7984912261,3.8098845541,3.7984912261,3.2763142783,7.933902439,369.0
Bjergby Friskole,,,,,,6.912173913,92.0
Bjerget Efterskole,,,,,,6.6841566265,166.0
"Bjergmarkskolen, område Holbæk By",3.5254989725,3.730530069,3.7339449495,3.730530069,3.2474007071,6.7583610451,421.0
Bjergsnæs Efterskole,,,,,,7.4557142857,329.0
Bjerre Gymnastik- og Idrætsefterskole Akademiet,,,,,,6.9544921875,768.0
Bjerregrav Friskole,,,,,,7.7303488372,86.0
Bjerregrav Skole,3.630274169,3.7818736901,3.7570422535,3.7818736901,3.4401356571,6.1568292683,41.0
Bjørnehøjskolen,3.6720345272,3.7241086339,3.7528248576,3.7241086339,3.2753426203,7.781322314,363.0
Bjørns Internationale Skole,,,,,,8.5748387097,62.0
Blicherskolen,3.5049972441,3.5592549223,3.7700564949,3.5592549223,3.0824959625,7.1141528239,301.0
Blidstrup Efterskole,,,,,,6.0590865385,208.0
Blovstrød Skole,3.6552626842,3.7959364846,3.8530701754,3.7959364846,3.3889511272,8.5528625954,262.0
Blære Friskole,,,,,,7.1439130435,23.0
Blåbjerg Friskole,,,,,,6.2987878788,33.0
Blåbjerggårdskolen,,,,,,7.9220769231,130.0
"Blåbjergskolen, Nr. Nebel afd.",3.709964038,3.6391141055,3.6896186356,3.6391141055,3.2034600508,6.9476851852,324.0
Blågård Skole,3.3095140783,3.5136466205,3.5853293353,3.5136466205,2.9783112848,6.1065765766,222.0
Blåkilde Efterskole,,,,,,8.2199175824,364.0
Blåvandshuk Skole,3.7360310067,3.6155315084,3.7929208395,3.6155315084,3.1366646443,6.8957660167,359.0
Boesagerskolen,3.522175644,3.6765743981,3.7543238962,3.6765743981,3.0724925835,7.7356276151,478.0
Bogense Skole,3.5545698203,3.6391159392,3.6981981959,3.6391159392,3.1862321803,6.4921865889,343.0
Bogø Kostskole,,,,,,6.3666549296,284.0
Boldesager Skole Cosmos,3.692747281,3.7392979587,3.9059474398,3.7392979587,3.250107814,7.5687868852,305.0
Bording Skole,3.6022986716,3.679244291,3.8484567889,3.679244291,3.225292791,6.8026540284,211.0
Bordings Friskole,,,,,,8.3409174312,218.0
Borgerskolen,3.5965979817,3.631301892,3.6415708736,3.631301892,3.1909608032,6.7842643923,469.0
Bork Havn Efterskole,,,,,,5.1922566372,226.0
Bornholms Efterskole,,,,,,5.2884285714,140.0
Bornholms Frie Idrætsskole,,,,,,7.3552459016,122.0
Borremose Efterskole,,,,,,4.991640625,128.0
Borup Privatskole,,,,,,8.701986755,151.0
Borup Skole,3.5939585623,3.6949565452,3.7243589682,3.6949565452,3.0836802706,7.3662560386,414.0
Borupgårdskolen,3.518731916,3.5892934103,3.7846638445,3.5892934103,3.2891541695,7.4073333333,300.0
Bramdrup Skole,3.6660603261,3.7608958292,3.8524844627,3.7608958292,3.3621631429,6.6706081081,444.0
Bramming Gymnastik- og Idrætsefterskole,,,,,,6.8551548673,452.0
Bramsnæsvigskolen,3.6012884865,3.6666175586,3.9132882883,3.6666175586,3.2498913727,6.4820967742,248.0
Bredagerskolen,3.5772712151,3.6732246819,3.6807417319,3.6732246819,3.0242891532,7.3110160428,561.0
Bredballe Privatskole,,,,,,8.144,30.0
Bredebro Filialskole,3.6531882687,3.6288194925,3.6604477612,3.6288194925,3.475124,6.7494444444,18.0
Bredsten - Gadbjerg Skole,3.7872483134,3.7604445709,3.8450704225,3.7604445709,3.2501177872,7.4442987805,328.0
Bregninge-Bjergsted Friskole,,,,,,6.9465789474,76.0
Brejning Efterskole,,,,,,7.6762068966,232.0
Brejninggaard Efterskole,,,,,,6.6266513761,436.0
Brenderup og Omegns Realskole,,,,,,8.4262278481,395.0
Breum Skole,,,,,,7.1067579909,219.0
Broager Skole,3.7354542831,3.6956090181,3.8120620571,3.6956090181,3.2812951471,7.3765024631,406.0
Broby Fri- og Efterskole,,,,,,6.2601082251,462.0
Brobyskolerne,3.42615356,3.4910315783,3.590026759,3.4910315783,3.032868374,7.335620438,274.0
Brorsonskolen,3.5427230771,3.7827219769,3.9053418769,3.7827219769,3.277530509,7.254399093,441.0
Broskolen,,,,,,7.1142691751,691.0
"Brovandeskolen, Den Lille Skole i Skagen",,,,,,7.8937588652,141.0
Brovst Skole,3.5311283746,3.5515398374,3.6672413759,3.5515398374,3.1633955467,6.7438947368,285.0
Bryndum Skole Aura,3.7908529766,3.7805796196,3.9606119766,3.7805796196,3.3248228906,7.5300377358,265.0
Bryrup Skole,3.6892044601,3.6056301963,3.8512269939,3.6056301963,3.1371600061,7.3515048544,206.0
Brædstrup Skole,3.6063812524,3.704647875,3.6557507923,3.704647875,3.1759077115,6.6171232877,365.0
Brændgårdskolen,3.7548348175,3.8520110362,3.917740549,3.8520110362,3.2665124367,6.8172,350.0
Brændkjærskolen,3.8456629326,3.974347993,4.0716783193,3.974347993,3.5154507809,7.3861294964,695.0
Brændstrup Kristne Friskole,,,,,,7.2288235294,85.0
Brøndby Idrætsefterskole,,,,,,6.4181222707,229.0
Brøndby Strand Skole,3.474437107,3.5892476477,3.6331096174,3.5892476477,3.1796424233,5.9970914127,722.0
Brøndbyvester Skole,3.449972195,3.6752701369,3.6157622682,3.6752701369,3.2471564953,6.4596407186,668.0
Brøndbyøster Skole,3.5548318199,3.700372973,3.686417185,3.700372973,3.2382430415,6.5879310345,522.0
Brønshøj Skole,3.5133784013,3.6617515099,3.6469298224,3.6617515099,3.0079883092,7.2464166667,360.0
Brøruphus Efterskole,,,,,,7.9769186047,344.0
Brørupskolen,3.5143198571,3.5241754538,3.7233893361,3.5241754538,3.1033087119,6.5750593824,421.0
Brårup Skole,3.7757291348,3.8142768292,3.9970037438,3.8142768292,3.3838209144,7.3210609037,509.0
Bråskovgård Efterskole,,,,,,5.3854632588,313.0
Buddinge Skole,3.4380461793,3.6633403008,3.6816077273,3.6633403008,3.1793505914,7.3578989362,376.0
Buskelundskolen,3.6147622559,3.6898055034,3.6591163289,3.6898055034,3.2011299596,8.0269565217,368.0
Busses Skole,,,,,,8.3571388102,353.0
Byens Skole,,,,,,8.0900946372,317.0
Bylderup Skole,3.4365576838,3.3938541765,3.6080246889,3.3938541765,2.8701935926,7.0035406699,209.0
Byplanvejens Skole,3.6107921978,3.6235804323,3.5123456704,3.6235804323,3.0816653895,7.3221212121,198.0
Byskolen,3.5766404689,3.5591442932,3.8612920586,3.5591442932,3.3785788355,6.2177446809,470.0
"Byskovskolen, afd. Benløse",3.5559930701,3.7237634133,3.8246913556,3.7237634133,3.1890402096,7.004563591,401.0
Bække Skole,3.7742632922,3.6069177468,3.9297385556,3.6069177468,3.3166349079,6.9644600939,213.0
Bækkegårdsskolen,3.5977658,3.7359181544,3.5862676056,3.7359181544,3.1630277535,7.9143434343,297.0
Bøgballe Friskole,,,,,,7.9626506024,166.0
Bøgeskovskolen,3.4897636463,3.5097497592,3.7248299224,3.5097497592,3.0307293455,6.7160542169,332.0
Børnenes Friskole,,,,,,7.8002877698,139.0
Børneuniversitetet på Vesterbro,,,,,,7.6487096774,248.0
Bøvling Fri- og Idrætsefterskole (efterskole),,,,,,6.7752197802,182.0
Bøvling Fri- og Idrætsefterskole (friskole),,,,,,6.5756521739,23.0
C. la Cours Skole,,,,,,8.5143323442,337.0
Campusskolen,3.4499919895,3.55025564,3.6807313608,3.55025564,2.9373028547,6.7750616333,1298.0
Carl Nielsen-Skolen,4.0076196946,3.8231710962,4.1328451883,3.8231710962,3.5444173613,7.1856074766,214.0
Carolineskolen,,,,,,8.2497647059,85.0
Charlotteskolen,3.5945718193,3.7976007711,3.7692307652,3.7976007711,3.3993095878,6.6214285714,294.0
Christiansfeld Skole,3.8102057754,3.8378750618,3.9640700435,3.8378750618,3.2734714655,6.8168211921,302.0
Christianshavns Døttreskole,,,,,,8.2882954545,264.0
Christianshavns Skole,3.605229705,3.6768035234,3.6195462461,3.6768035234,3.1296617618,7.7554870775,503.0
Christinelystskolen,3.8862139254,3.7848012358,3.8880597015,3.7848012358,3.3279171373,7.129122449,490.0
Copenhagen City School,,,,,,7.9625153374,163.0
Dagnæsskolen,3.7129885258,3.7152679966,3.9180985086,3.7152679966,3.3988213849,7.0676093294,343.0
Dalmose skole,3.8098028421,3.7542223789,4.1026315789,3.7542223789,3.5562903158,5.8636942675,157.0
Dalumskolen,3.576095675,3.6614735235,3.7890624906,3.6614735235,3.1965960846,7.3326822157,343.0
Damagerskolen,3.3948311368,3.6069834429,3.6391509387,3.6069834429,3.1645347476,6.5351145038,262.0
Damhusengens Skole,3.4841787735,3.8052553598,3.7407918913,3.8052553598,3.1848717222,7.4452280702,285.0
Danehofskolen,3.5906536642,3.6254983735,3.8717320245,3.6254983735,3.2794543686,7.0722588235,425.0
Danmarksgades Skole Urban,3.5477794894,3.8414047179,3.9914893574,3.8414047179,3.5102528851,7.4117596567,233.0
Dannevirke Kostskole,3.3822563684,3.4786960526,4.0394736842,3.4786960526,3.2418542105,3.6183333333,12.0
Dannevirkeskolen,,,,,,5.5911111111,9.0
Dansborgskolen,3.5330697995,3.6580981275,3.6421568627,3.6580981275,3.0282325441,7.1628041237,485.0
Davidskolen,,,,,,8.0604724409,127.0
Dejbjerglund Efterskole,,,,,,7.443373494,498.0
Den Classenske Legatskole,3.5936478428,3.6714380742,3.7005094585,3.6714380742,3.0658552795,8.1197191011,356.0
Den danske Design- og Håndværksefterskole i Skjern,,,,,,6.9481420765,549.0
Den dansk-franske Skole af 2014,,,,,,,0.0
Den Fri Hestehaveskole,,,,,,7.9026490066,151.0
Den Kristne Friskole i Holstebro,,,,,,8.0170498084,261.0
Den Lille Skole,,,,,,8.3002222222,180.0
Den Rytmiske Efterskole i Baaring,,,,,,7.4621830986,142.0
Den Tyske Efterskole Tinglev,,,,,,7.3645962733,161.0
Design- & Idrætsefterskolen Skamling,,,,,,5.9139799331,299.0
Det Frie Gymnasiums Grundskole,,,,,,7.3749157303,356.0
Det Kgl Vaisenhus Skole,,,,,,6.710969163,227.0
Det Kongelige Teater Balletskolen Odense,,,,,,8.8948648649,74.0
Deutsche Privatschule Apenrade,,,,,,7.4083173077,208.0
Deutsche Schule Hadersleben,,,,,,7.9887878788,99.0
Deutsche Schule Sonderburg,,,,,,7.7319135802,162.0
Deutsche Schule Tingleff,,,,,,7.0883606557,122.0
DIA Privatskole,,,,,,8.1672169811,212.0
"Distrikt Nord, Skagen skoleafdeling",3.6766386784,3.6509851278,3.8028634361,3.6509851278,3.3026994152,6.7803856749,363.0
"Distrikt Nord, Strandby skoleafdeling",3.6953183772,3.7244477786,3.7132265694,3.7244477786,3.246584911,7.0175384615,260.0
"Distrikt Nord, Aalbæk skoleafdeling",3.7116089912,3.706134115,3.8141592832,3.706134115,3.3928777788,6.9261403509,114.0
"Distrikt Syd, Hørby-Dybvad skoleafdeling",3.6253071727,3.5747826091,3.7893939364,3.5747826091,3.3243935091,7.1005555556,162.0
"Distrikt Syd, Stensnæs skoleafdeling",3.8639947632,3.6892221053,3.9605263158,3.6892221053,3.5197990789,7.2157142857,35.0
"Distrikt Syd, Sæby skoleafdeling",3.7883628765,3.775528284,3.75,3.775528284,3.7489707654,7.580990099,101.0
"Distrikt Syd, Sæbygård skoleafdeling",3.5392588325,3.6580277057,3.73375,3.6580277057,3.15475553,7.0247445255,548.0
"Distrikt Syd, Torslev skoleafdeling",3.5490556706,3.6316121765,3.5058823471,3.6316121765,3.0900556176,6.7693564356,202.0
"Distrikt Vest, Bangsbostrand Skoleafdeling",3.502844532,3.6968773325,3.739769821,3.6968773325,3.3673150411,6.9400465116,430.0
"Distrikt Vest, Gærum skoleafdeling",3.7184023438,3.6733620938,3.765625,3.6733620938,3.5900293438,6.8848717949,39.0
"Distrikt Vest, Ravnshøj skoleafdeling",3.6665958623,3.678884,3.7254196619,3.678884,3.1571769493,7.4750595238,168.0
"Distrikt Øst, Frydenstrand skoleafdeling",3.5665535677,3.6071253717,3.6514756927,3.6071253717,3.2007557533,6.919241517,501.0
"Distrikt Øst, Nordstjernen skoleafdeling",3.5234117277,3.5067529804,3.6344202848,3.5067529804,3.1531846469,6.7004059041,542.0
Distriktsskolen,3.7612386133,3.7056921128,3.9289883268,3.7056921128,3.3875719451,6.5896043165,278.0
Djursland Lilleskole,,,,,,7.59125,16.0
Djurslands Efterskole,,,,,,7.9385321101,327.0
Dragør Skole,3.4284535975,3.7663702553,3.6165254237,3.7663702553,3.1733046483,8.0551529412,425.0
Dragør Skole Syd,,,,,,7.7462195122,82.0
Dronninggårdskolen,3.7234034614,3.9309325718,3.9109719043,3.9309325718,3.3206453813,8.955627451,510.0
Dronninglund Efterskole,,,,,,6.4272928177,181.0
Dronninglund Friskole,,,,,,5.03,5.0
Dronninglund Skole,3.4974106214,3.576763571,3.6269493129,3.576763571,3.0305342573,7.0871588367,447.0
Druestrup Friskole,,,,,,8.3682191781,146.0
Dueholmskolen,3.7359112097,3.6787687134,3.8090542799,3.6787687134,3.2851360241,7.0339369369,1110.0
Dybbøl-Skolen,3.7789886017,3.8112079593,3.9207796845,3.8112079593,3.4051395837,7.9633658537,615.0
Dybkærskolen,3.5642156538,3.7235087692,3.8476621357,3.7235087692,3.2821859178,7.6988861985,413.0
Dyhrs Skole,,,,,,9.0027875244,513.0
Dyssegårdsskolen,3.7854603166,3.8711371818,3.735134,3.8711371818,3.2930242387,8.4946022727,528.0
Dyvekeskolen,3.7566392576,3.7453042806,3.7870370303,3.7453042806,3.212637904,5.9686363636,44.0
Ebberup Skole,3.5663831401,3.6438242803,3.786093414,3.6438242803,3.2311946115,7.1353588517,209.0
Ebeltoft Skole,3.6207609652,3.7993499652,3.8224867683,3.7993499652,3.269205946,7.3838095238,420.0
Eckersberg Børneunivers,,,,,,7.538,90.0
Efterskolen DUI Leg og Virke Bisnapgård,,,,,,4.2518518519,54.0
Efterskolen Epos,,,,,,6.949047619,84.0
Efterskolen Flyvesandet,,,,,,5.1406617647,136.0
Efterskolen for Scenekunst,,,,,,7.3574857143,175.0
Efterskolen Frydensberg,,,,,,5.3999256506,269.0
Efterskolen Kildevæld,,,,,,6.8195638629,321.0
Efterskolen Lindenborg,,,,,,5.606092437,238.0
Efterskolen Smededal,,,,,,7.0988489209,139.0
Efterskolen Solgården,,,,,,7.7956854839,248.0
Efterskolen Strand på Danebod,,,,,,3.2142857143,7.0
Efterskolen ved Nyborg,,,,,,7.0894285714,140.0
Efterskolen Ådalen og  Åskolen - friskolen i Hørning,,,,,,6.559895288,191.0
Egebakkeskolen,,,,,,7.7622699387,163.0
Egebjergskolen,3.8523274155,3.934872338,4.0885964912,3.934872338,3.4719227852,7.2880139373,287.0
Egelundskolen,3.3889791845,3.6482077788,3.6344605411,3.6482077788,3.1127596311,7.139002849,351.0
Egeskolen,3.5689391667,3.1180548333,4.25,3.1180548333,2.9880946667,4.61,3.0
Egeskovskolen,3.52623898,3.6944953545,3.7156699867,3.6944953545,3.1470214114,7.2884550562,356.0
Eggeslevmagle Skole,3.8827871644,3.8635597089,4.0795148248,3.8635597089,3.5550246038,7.5524736842,570.0
Egholmskolen,3.5177386051,3.6850076723,3.7016985011,3.6850076723,3.1512687825,7.2082644628,484.0
Egtved Skole,3.6592255802,3.6705605556,3.8117283951,3.6705605556,3.2133838971,7.3023880597,268.0
Eisbjerghus Internationale Efterskole,,,,,,8.3673376623,308.0
Ejby Skole,,,,,,6.9403191489,752.0
Ejerslykkeskolen,3.5823174375,3.818615622,3.9750656063,3.818615622,3.3688034882,6.3823498695,383.0
Ejstrupholm Skole,3.5176859936,3.5361179103,3.5875796178,3.5361179103,3.0830751529,6.9100564972,177.0
Elbæk Efterskole,,,,,,7.1493478261,276.0
Elise Smiths Skole,,,,,,8.338950495,505.0
Ellebjerg Skole,3.5986643829,3.6766845747,3.6899999943,3.6766845747,3.267450763,6.3527234043,235.0
Ellebækskolen,,,,,,6.9359090909,154.0
"Ellebækskolen, afd. Kalbyris",,,,,,6.9417374517,259.0
"Ellebækskolen, afd. Kildemark",,,,,,6.5986554622,119.0
Ellekærskolen,3.4475413095,3.7303518189,3.6909448819,3.7303518189,3.318897252,5.5914473684,152.0
Ellemarkskolen,3.5389263587,3.7868647956,3.7363636327,3.7868647956,3.3135407091,6.764986376,367.0
Ellevangskolen,3.5746468771,3.7890986844,3.798379625,3.7890986844,3.2798474667,7.9675988701,708.0
Elsted Skole,3.7097191642,3.8237030151,3.9523217214,3.8237030151,3.277440065,8.0409297913,527.0
Emmerske Efterskole,,,,,,4.4916981132,106.0
Endrupskolen,3.7149533876,3.8175225969,3.8229571907,3.8175225969,3.3895252364,8.3258412698,315.0
Engdalskolen,3.5558743366,3.7890219584,3.8796977108,3.7890219584,3.2834146299,7.74401222,491.0
Engelsborgskolen,3.6175230117,3.889253251,3.9250972743,3.889253251,3.3230479454,8.6254098361,610.0
Engesvang Skole,3.7173356802,3.7193651163,3.9723837209,3.7193651163,3.2374026919,7.172254902,204.0
Enghavegård Skole,3.4809964247,3.732059217,3.699681235,3.732059217,3.186868292,7.4420132743,452.0
Englystskolen,3.6642958533,3.7631634866,3.7572222178,3.7631634866,3.0854387311,7.7709214092,369.0
Engstrandskolen,3.5034165941,3.6451194812,3.5561366778,3.6451194812,3.0838785542,6.4042198582,282.0
Eriksminde Efterskole,,,,,,7.8853703704,216.0
"Erritsø Fællesskole, Erritsø Bygade",3.7656058946,3.6865668855,3.8056394743,3.6865668855,3.0369510997,7.1515683962,848.0
"Erritsø Fællesskole, Krogagervej",3.7348281761,3.8166660114,3.8604761829,3.8166660114,3.3308166818,6.9564197531,81.0
Esajasskolen,,,,,,7.5725333333,150.0
Esbjerg Realskole,,,,,,8.0637951807,332.0
Eskilstrup Børne- og Skolefællesskab,3.5115206854,3.4029543296,3.6177839777,3.4029543296,3.0408083464,6.3866666667,198.0
Esrum Kostskole,,,,,,4.9062162162,74.0
Falster Efterskole,,,,,,6.2102941176,68.0
Fanø Efterskole,,,,,,4.823125,16.0
Fanø Skole,3.6445759799,3.7635371256,3.8320770503,3.7635371256,3.288585407,7.684972973,185.0
Farstrup Skole,3.8189491852,3.7117128765,3.8919753086,3.7117128765,3.430040716,6.6505813953,86.0
"Farsø Efterskole, Eftersk. ved Risgårde Bredning",,,,,,5.9915100671,298.0
Farsø Skole,3.6688796522,3.7478057188,3.8060386435,3.7478057188,3.2411263924,7.0698237885,454.0
Faxehus Efterskole,,,,,,6.6317727273,220.0
Feldballe Friskole,,,,,,6.5711764706,34.0
Felsted Centralskole,3.588605608,3.5741416482,3.6302345025,3.5741416482,3.0388562234,6.4461204013,299.0
Femmøller Efterskole,,,,,,6.7953246753,154.0
Ferritslev Friskole,,,,,,7.9615972222,144.0
Ferslev Skole,,,,,,7.627254902,204.0
Filipskolen Ålborg,,,,,,7.3172903226,155.0
Filskov Friskole,,,,,,6.638,70.0
Filstedvejens Skole,3.4641101531,3.6922248997,3.6875,3.6922248997,3.2614560254,6.6576530612,392.0
Firehøjeskolen,3.5949345099,3.6396897086,3.7350993311,3.6396897086,3.2072383624,7.6695416667,240.0
Firhøjskolen,3.448544619,3.4514966667,3.5863095238,3.4514966667,2.9255948452,6.1117123288,146.0
Firkløverskolen,,,,,,6.7225,348.0
"Firkløverskolen Give, Ikær og Søndermarken",,,,,,4.8568085106,47.0
Fjerritslev Skole,3.5255928702,3.5538649049,3.5977011303,3.5538649049,3.0174750611,6.5931518152,606.0
Fjordbakkeskolen,,,,,,7.288358209,134.0
"Fjordbakkeskolen, afdeling Taulov",3.5886098611,3.7096056139,3.7927112312,3.7096056139,3.1681626844,7.4540694789,403.0
Fjordlandsskolen,3.4118864585,3.5140807931,3.4525862011,3.5140807931,2.9414364352,6.8401190476,252.0
Fjordvang Efterskole,,,,,,6.1187142857,280.0
